"mean" "lowerHPD" "higherHPD"
"142" 5.748891 5.6035883 5.7982571
"143" 5.678591 5.5019084 5.7447192
"144" 3.893929 2.9293549 4.9215056
"145" 5.456394 5.2840589 5.609512
"OstracodaMalacostraca" 4.956737 4.6088789 5.1705241
"147" 3.002147 2.2607404 4.2044773
"148" 1.697345 0.969359800000001 2.7358583
"149" 5.281277 5.1418535 5.4789827
"CopepodaBranchiopoda" 4.39881 3.8390481 4.8874398
"151" 5.143371 5.0231292 5.3763534
"152" 5.009632 4.8729174 5.2275479
"Ellipura" 4.31522 4.2754408 4.3542901
"154" 2.784312 2.537461 3.1683899
"155" 2.402524 2.0926738 2.6920969
"156" 1.851678 1.3950492 2.2023615
"157" 1.737667 1.4439652 2.1293975
"158" 4.86218 4.7401335 4.979593
"Diplura" 3.443664 2.5989517 3.956779
"160" 4.637535 4.5441067 4.7329583
"161" 1.993246 1.3739497 2.7120217
"Dicondylia" 4.412291 4.3504809 4.4433885
"163" 2.750994 2.1964302 3.4876246
"164" 2.200526 1.5025795 2.8252933
"Pterygota" 4.297591 4.2172802 4.3769049
"166" 3.907393 3.6367143 4.0610533
"Odonata" 2.351141 2.2363865 2.5908855
"EpiophlebiaCordulegaster" 1.385949 1.1582009 1.7817269
"169" 2.291334 1.9254986 2.7089377
"170" 1.581489 1.2030016 2.0937384
"171" 1.10712 0.882409999999999 1.607996
"172" 4.173827 4.0818784 4.2811944
"173" 3.833264 3.6746961 4.0795112
"ZorapteraDermaptera" 3.352694 3.0325674 3.66658
"175" 1.449824 1.0660048 1.9476509
"176" 3.579302 3.4207599 3.8307577
"Plecoptera" 2.303983 2.0287923 2.873697
"178" 1.829037 1.2138093 2.235244
"179" 3.40081 3.3076617 3.6223866
"180" 2.772226 2.3920426 3.1604005
"181" 2.14843 1.4788729 2.6158761
"182" 1.877784 1.4491329 2.4154417
"183" 1.131224 0.7084092 1.6132561
"DictyopteraPhasmatodeaEmbiopteraGrylloblattodeaMantophasmatodea" 3.258203 3.1897354 3.4152551
"185" 2.896809 2.6475102 3.0974071
"186" 2.247995 1.7551922 2.6552442
"187" 0.676303000000001 0.2381314 1.1795026
"EmbiopteraPhasmatodea" 2.416751 2.1734292 2.7293629
"Embioptera" 1.061484 0.9161998 1.334843
"190" 1.923357 1.5451275 2.2585741
"191" 0.758985000000001 0.421213900000001 1.2251309
"192" 2.430819 2.0502357 2.8628995
"193" 1.094318 0.4902525 1.8832593
"194" 0.525469 0.2051296 1.1830197
"195" 1.923112 1.5576635 2.4148118
"196" 1.663684 1.3957366 2.0609905
"197" 1.417888 1.2618557 1.7999307
"Isoptera" 1.280704 1.1537817 1.5843447
"199" 1.098911 0.8615213 1.3046387
"200" 4.076328 3.9758526 4.2155502
"ThysanopteraHemiptera" 3.804169 3.6844857 4.0720695
"Thysanoptera" 2.495267 2.0990336 2.9327654
"203" 1.030091 0.786581100000001 1.6189866
"204" 3.40305 3.2521427 3.6336838
"205" 2.96425 2.7561637 3.2241782
"206" 1.169059 0.8002836 1.6881491
"HemipteraSternorrhyncha except Aleyrodidae" 2.652358 2.4442281 2.8379234
"208" 2.202963 1.9337286 2.4950609
"209" 0.867654 0.599786800000001 1.2772314
"210" 0.370631 0.1742701 0.8440005
"211" 3.026272 2.7275122 3.3131514
"212" 2.613517 2.247687 2.8913374
"213" 2.262895 1.9227435 2.6139131
"214" 1.516685 1.1589693 2.0244472
"215" 2.242924 1.961052 2.57892
"RanatraVelia" 1.779149 1.5529207 2.1448768
"217" 1.620806 1.2874366 2.0558246
"218" 3.995192 3.8747971 4.1427343
"219" 2.527498 2.1867586 2.8810701
"LiposcelisPediculusMenopon" 1.704865 1.457711 2.1171829
"PediculusMenopon" 1.291081 1.0354635 1.7765212
