"mean" "lowerHPD" "higherHPD"
"142" 5.741491 5.5960223 5.7939137
"143" 5.668082 5.4924234 5.7379772
"144" 3.902394 2.8531961 4.9377377
"145" 5.438059 5.2652032 5.5989346
"OstracodaMalacostraca" 4.947299 4.6027469 5.1727092
"147" 2.924279 2.2025624 4.2240566
"148" 1.645746 0.9466395 2.653301
"149" 5.263458 5.1126315 5.4625138
"CopepodaBranchiopoda" 4.3908 3.8203083 4.8656287
"151" 5.121586 5.0057456 5.3683214
"152" 4.985391 4.8521919 5.2140805
"Ellipura" 4.320438 4.2750231 4.362597
"154" 2.718972 2.474996 3.1195747
"155" 2.343871 2.0571995 2.643211
"156" 1.804886 1.412095 2.1659199
"157" 1.708223 1.4007985 2.1080465
"158" 4.845752 4.7164168 4.9579073
"Diplura" 3.419642 2.6015893 3.9614201
"160" 4.609172 4.507917 4.722146
"161" 1.936828 1.3127975 2.6376983
"Dicondylia" 4.387088 4.3200598 4.4314819
"163" 2.637896 2.059624 3.4781046
"164" 2.122637 1.4166203 2.7865
"Pterygota" 4.267495 4.1530844 4.3568632
"166" 3.892344 3.6058355 4.0486676
"Odonata" 2.346417 2.2283119 2.5931746
"EpiophlebiaCordulegaster" 1.380341 1.1457325 1.7957493
"169" 2.242295 1.8655483 2.6732372
"170" 1.555911 1.1835859 2.0629377
"171" 1.082452 0.844712 1.5815493
"172" 4.13607 4.0221075 4.2592511
"173" 3.54744 3.1835219 3.9090354
"ZorapteraDermaptera" 3.081502 2.6465766 3.5556837
"175" 1.345183 0.9672081 1.8710775
"176" 3.108922 2.7587888 3.5687767
"Plecoptera" 2.074335 1.8818522 2.7146784
"178" 1.687591 1.1626408 2.1031453
"179" 2.8909 2.5781738 3.3045931
"180" 2.433454 2.0830772 2.8639946
"181" 1.879596 1.3846174 2.3987786
"182" 1.686292 1.3319578 2.1353322
"183" 1.029104 0.6724808 1.4832642
"DictyopteraPhasmatodeaEmbiopteraGrylloblattodeaMantophasmatodea" 2.665714 2.3676992 3.062454
"185" 2.443303 2.1499445 2.8166232
"186" 1.941699 1.4318789 2.4496937
"187" 0.613126 0.2194573 1.0968896
"EmbiopteraPhasmatodea" 2.065398 1.8139572 2.5074945
"Embioptera" 1.003934 0.851777 1.2362994
"190" 1.644732 1.3595373 2.0894563
"191" 0.685488 0.377053699999999 1.1094633
"192" 2.130239 1.7915626 2.6137867
"193" 1.010399 0.469365000000001 1.6444822
"194" 0.479619000000001 0.203975300000001 1.1243967
"195" 1.766814 1.5003373 2.2251709
"196" 1.552559 1.3305488 1.9239655
"197" 1.35471 1.1876835 1.7035377
"Isoptera" 1.227792 1.0699499 1.5179848
"199" 1.05081 0.843358800000001 1.2554471
"200" 4.033986 3.9302355 4.1902054
"ThysanopteraHemiptera" 3.755965 3.602612 4.0388988
"Thysanoptera" 2.47318 2.0481846 2.9660695
"203" 1.007969 0.7354758 1.6175297
"204" 3.320681 3.1372316 3.569928
"205" 2.883712 2.6914102 3.1821579
"206" 1.133944 0.7665142 1.6585393
"HemipteraSternorrhyncha except Aleyrodidae" 2.599335 2.395467 2.8199675
"208" 2.159626 1.8652675 2.4896835
"209" 0.843069000000001 0.5596867 1.2539167
"210" 0.353536 0.1697787 0.824692599999999
"211" 2.94659 2.6648027 3.2538115
"212" 2.551837 2.1713119 2.8155808
"213" 2.199786 1.8903179 2.5711576
"214" 1.476865 1.1385862 1.9994214
"215" 2.190968 1.8955972 2.5182939
"RanatraVelia" 1.74009 1.5197644 2.1057522
"217" 1.593037 1.2653495 2.0015057
"218" 3.958104 3.8385257 4.1106428
"219" 2.473291 2.1286467 2.8258761
"LiposcelisPediculusMenopon" 1.673756 1.4317085 2.067025
"PediculusMenopon" 1.26804 1.0147692 1.7582377
"Holometabola" 3.800988 3.6542668 4.0176119
"Hymenoptera" 2.61777 2.4027413 3.1034479
"224" 2.214601 1.8367095 2.6284454
"225" 2.044295 1.6565525 2.4598086
